"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage,,,,,,,,
"[17, 257, 4369, 4096, 22369, 17656, 3233]",4369,4096,22369,12.77,,,,,,,,
"[17, 257, 4369, 4096, 22433, 17356, 3169]",4369,4096,22433,12.77,,,,,,,,
"[17, 257, 4369, 4096, 22817, 15514, 2785]",4369,4096,22817,12.77,,,,,,,,
"[17, 257, 4369, 4096, 23201, 13600, 2401]",4369,4096,23201,12.77,,,,,,,,
"[17, 257, 4369, 4096, 24097, 8854, 1505]",4369,4096,24097,12.77,,,,,,,,
"[17, 257, 4369, 4096, 24481, 6700, 1121]",4369,4096,24481,12.77,,,,,,,,
"[17, 257, 4369, 4096, 25057, 3334, 545]",4369,4096,25057,12.77,,,,,,,,
"[17, 257, 4369, 4096, 25121, 2950, 481]",4369,4096,25121,12.77,,,,,,,,
"[17, 257, 4369, 4096, 25633, 25439, 4065]",4369,4096,25633,12.77,,,,,,,,
"[17, 257, 4369, 4096, 25889, 24075, 3809]",4369,4096,25889,12.77,,,,,,,,
"[17, 257, 4369, 4096, 26017, 23381, 3681]",4369,4096,26017,12.77,,,,,,,,
"[17, 257, 4369, 4096, 26209, 22325, 3489]",4369,4096,26209,12.77,,,,,,,,
"[17, 257, 4369, 4096, 26849, 18675, 2849]",4369,4096,26849,12.77,,,,,,,,
"[17, 257, 4369, 4096, 27361, 15611, 2337]",4369,4096,27361,12.77,,,,,,,,
"[17, 257, 4369, 4096, 27617, 14031, 2081]",4369,4096,27617,12.77,,,,,,,,
"[17, 257, 4369, 4096, 27809, 12825, 1889]",4369,4096,27809,12.77,,,,,,,,
"[17, 257, 4369, 4096, 28001, 11601, 1697]",4369,4096,28001,12.77,,,,,,,,
"[17, 257, 4369, 4096, 28513, 8249, 1185]",4369,4096,28513,12.77,,,,,,,,
"[17, 257, 4369, 4096, 28961, 5211, 737]",4369,4096,28961,12.77,,,,,,,,
"[17, 257, 4369, 4096, 29153, 3879, 545]",4369,4096,29153,12.77,,,,,,,,
"[17, 257, 4369, 4096, 29473, 1619, 225]",4369,4096,29473,12.77,,,,,,,,
"[17, 257, 4369, 4096, 29537, 1161, 161]",4369,4096,29537,12.77,,,,,,,,
"[17, 257, 4369, 4096, 29921, 28292, 3873]",4369,4096,29921,12.77,,,,,,,,
"[17, 257, 4369, 4096, 30113, 27062, 3681]",4369,4096,30113,12.77,,,,,,,,
"[17, 257, 4369, 4096, 30241, 26232, 3553]",4369,4096,30241,12.77,,,,,,,,
"[17, 257, 4369, 4096, 30497, 24548, 3297]",4369,4096,30497,12.77,,,,,,,,
"[17, 257, 4369, 4096, 30689, 23264, 3105]",4369,4096,30689,12.77,,,,,,,,
"[17, 257, 4369, 4096, 30817, 22398, 2977]",4369,4096,30817,12.77,,,,,,,,
"[17, 257, 4369, 4096, 30881, 21962, 2913]",4369,4096,30881,12.77,,,,,,,,
"[17, 257, 4369, 4096, 31393, 18402, 2401]",4369,4096,31393,12.77,,,,,,,,
"[17, 257, 4369, 4096, 31649, 16574, 2145]",4369,4096,31649,12.77,,,,,,,,
"[17, 257, 4369, 4096, 32353, 11382, 1441]",4369,4096,32353,12.77,,,,,,,,
"[17, 257, 4369, 4096, 32609, 9434, 1185]",4369,4096,32609,12.77,,,,,,,,
"[17, 257, 4369, 4096, 32801, 7952, 993]",4369,4096,32801,12.77,,,,,,,,
"[17, 257, 4369, 4096, 32993, 6452, 801]",4369,4096,32993,12.77,,,,,,,,
"[17, 257, 4369, 4096, 33377, 3398, 417]",4369,4096,33377,12.77,,,,,,,,
"[17, 257, 4369, 4096, 33569, 1844, 225]",4369,4096,33569,12.77,,,,,,,,
"[17, 257, 4369, 4096, 33889, 33103, 4001]",4369,4096,33889,12.77,,,,,,,,
"[17, 257, 4369, 4096, 34273, 30265, 3617]",4369,4096,34273,12.77,,,,,,,,
"[17, 257, 4369, 4096, 34337, 29785, 3553]",4369,4096,34337,12.77,,,,,,,,
"[17, 257, 4369, 4096, 34721, 26863, 3169]",4369,4096,34721,12.77,,,,,,,,
"[17, 257, 4369, 4096, 34849, 25873, 3041]",4369,4096,34849,12.77,,,,,,,,
"[17, 257, 4369, 4096, 34913, 25375, 2977]",4369,4096,34913,12.77,,,,,,,,
"[17, 257, 4369, 4096, 35617, 19765, 2273]",4369,4096,35617,12.77,,,,,,,,
"[17, 257, 4369, 4096, 35809, 18193, 2081]",4369,4096,35809,12.77,,,,,,,,
"[17, 257, 4369, 4096, 36833, 9505, 1057]",4369,4096,36833,12.77,,,,,,,,
"[17, 257, 4369, 4096, 37217, 6115, 673]",4369,4096,37217,12.77,,,,,,,,
"[17, 257, 4369, 4096, 37409, 4393, 481]",4369,4096,37409,12.77,,,,,,,,
"[17, 257, 4369, 4096, 37537, 3235, 353]",4369,4096,37537,12.77,,,,,,,,
"[17, 257, 4369, 4096, 38113, 36038, 3873]",4369,4096,38113,12.77,,,,,,,,
"[17, 257, 4369, 4096, 38177, 35502, 3809]",4369,4096,38177,12.77,,,,,,,,
"[17, 257, 4369, 4096, 38561, 32244, 3425]",4369,4096,38561,12.77,,,,,,,,
"[17, 257, 4369, 4096, 39521, 23784, 2465]",4369,4096,39521,12.77,,,,,,,,
"[17, 257, 4369, 4096, 39841, 20864, 2145]",4369,4096,39841,12.77,,,,,,,,
"[17, 257, 4369, 4096, 40289, 16692, 1697]",4369,4096,40289,12.77,,,,,,,,
"[17, 257, 4369, 4096, 40609, 13652, 1377]",4369,4096,40609,12.77,,,,,,,,
"[17, 257, 4369, 4096, 40801, 11804, 1185]",4369,4096,40801,12.77,,,,,,,,
"[17, 257, 4369, 4096, 40993, 9938, 993]",4369,4096,40993,12.77,,,,,,,,
"[17, 257, 4369, 4096, 41057, 9312, 929]",4369,4096,41057,12.77,,,,,,,,
"[17, 257, 4369, 4096, 41761, 2294, 225]",4369,4096,41761,12.77,,,,,,,,
"[17, 257, 4369, 4096, 41953, 338, 33]",4369,4096,41953,12.77,,,,,,,,
"[17, 257, 4369, 4096, 42017, 41699, 4065]",4369,4096,42017,12.77,,,,,,,,
"[17, 257, 4369, 4096, 42209, 39911, 3873]",4369,4096,42209,12.77,,,,,,,,
"[17, 257, 4369, 4096, 42337, 38709, 3745]",4369,4096,42337,12.77,,,,,,,,
"[17, 257, 4369, 4096, 44129, 21041, 1953]",4369,4096,44129,12.77,,,,,,,,
"[17, 257, 4369, 4096, 44257, 19719, 1825]",4369,4096,44257,12.77,,,,,,,,
"[17, 257, 4369, 4096, 44449, 17721, 1633]",4369,4096,44449,12.77,,,,,,,,
"[17, 257, 4369, 4096, 44641, 15705, 1441]",4369,4096,44641,12.77,,,,,,,,
"[17, 257, 4369, 4096, 45281, 8855, 801]",4369,4096,45281,12.77,,,,,,,,
"[17, 257, 4369, 4096, 46049, 371, 33]",4369,4096,46049,12.77,,,,,,,,
"[17, 257, 4369, 4096, 46817, 38416, 3361]",4369,4096,46817,12.77,,,,,,,,
"[17, 257, 4369, 4096, 47137, 34996, 3041]",4369,4096,47137,12.77,,,,,,,,
"[17, 257, 4369, 4096, 47521, 30826, 2657]",4369,4096,47521,12.77,,,,,,,,
"[17, 257, 4369, 4096, 47713, 28714, 2465]",4369,4096,47713,12.77,,,,,,,,
"[17, 257, 4369, 4096, 47777, 28006, 2401]",4369,4096,47777,12.77,,,,,,,,
"[17, 257, 4369, 4096, 47969, 25870, 2209]",4369,4096,47969,12.77,,,,,,,,
"[17, 257, 4369, 4096, 48353, 21544, 1825]",4369,4096,48353,12.77,,,,,,,,
"[17, 257, 4369, 4096, 48481, 20086, 1697]",4369,4096,48481,12.77,,,,,,,,
"[17, 257, 4369, 4096, 48673, 17884, 1505]",4369,4096,48673,12.77,,,,,,,,
"[17, 257, 4369, 4096, 49057, 13426, 1121]",4369,4096,49057,12.77,,,,,,,,
"[17, 257, 4369, 4096, 49121, 12676, 1057]",4369,4096,49121,12.77,,,,,,,,
"[17, 257, 4369, 4096, 49633, 6604, 545]",4369,4096,49633,12.77,,,,,,,,
"[17, 257, 4369, 4096, 49697, 5836, 481]",4369,4096,49697,12.77,,,,,,,,
"[17, 257, 4369, 4096, 50273, 49107, 4001]",4369,4096,50273,12.77,,,,,,,,
"[17, 257, 4369, 4096, 50593, 45467, 3681]",4369,4096,50593,12.77,,,,,,,,
"[17, 257, 4369, 4096, 50849, 42519, 3425]",4369,4096,50849,12.77,,,,,,,,
"[17, 257, 4369, 4096, 51169, 38789, 3105]",4369,4096,51169,12.77,,,,,,,,
"[17, 257, 4369, 4096, 51361, 36527, 2913]",4369,4096,51361,12.77,,,,,,,,
"[17, 257, 4369, 4096, 52321, 24947, 1953]",4369,4096,52321,12.77,,,,,,,,
"[17, 257, 4369, 4096, 52769, 19389, 1505]",4369,4096,52769,12.77,,,,,,,,
"[17, 257, 4369, 4096, 53089, 15359, 1185]",4369,4096,53089,12.77,,,,,,,,
"[17, 257, 4369, 4096, 53281, 12917, 993]",4369,4096,53281,12.77,,,,,,,,
"[17, 257, 4369, 4096, 53857, 5483, 417]",4369,4096,53857,12.77,,,,,,,,
"[17, 257, 4369, 4096, 54049, 2969, 225]",4369,4096,54049,12.77,,,,,,,,
"[17, 257, 4369, 4096, 54497, 51530, 3873]",4369,4096,54497,12.77,,,,,,,,
"[17, 257, 4369, 4096, 54881, 46748, 3489]",4369,4096,54881,12.77,,,,,,,,
"[17, 257, 4369, 4096, 55009, 45138, 3361]",4369,4096,55009,12.77,,,,,,,,
"[17, 257, 4369, 4096, 55073, 44330, 3297]",4369,4096,55073,12.77,,,,,,,,
"[17, 257, 4369, 4096, 55201, 42708, 3169]",4369,4096,55201,12.77,,,,,,,,
"[17, 257, 4369, 4096, 55457, 39440, 2913]",4369,4096,55457,12.77,,,,,,,,
"[17, 257, 4369, 4096, 56417, 26900, 1953]",4369,4096,56417,12.77,,,,,,,,
"[17, 257, 4369, 4096, 56737, 22620, 1633]",4369,4096,56737,12.77,,,,,,,,
"[17, 257, 4369, 4096, 56929, 20028, 1441]",4369,4096,56929,12.77,,,,,,,,
"[17, 257, 4369, 4096, 56993, 19160, 1377]",4369,4096,56993,12.77,,,,,,,,
"[17, 257, 4369, 4096, 57697, 9480, 673]",4369,4096,57697,12.77,,,,,,,,
"[17, 257, 4369, 4096, 58337, 470, 33]",4369,4096,58337,12.77,,,,,,,,
"[17, 257, 4369, 4096, 58657, 54547, 3809]",4369,4096,58657,12.77,,,,,,,,
"[17, 257, 4369, 4096, 58913, 51103, 3553]",4369,4096,58913,12.77,,,,,,,,
"[17, 257, 4369, 4096, 59233, 46753, 3233]",4369,4096,59233,12.77,,,,,,,,
"[17, 257, 4369, 4096, 59617, 41467, 2849]",4369,4096,59617,12.77,,,,,,,,
"[17, 257, 4369, 4096, 59809, 38797, 2657]",4369,4096,59809,12.77,,,,,,,,
"[17, 257, 4369, 4096, 60257, 32497, 2209]",4369,4096,60257,12.77,,,,,,,,
"[17, 257, 4369, 4096, 60449, 29767, 2017]",4369,4096,60449,12.77,,,,,,,,
"[17, 257, 4369, 4096, 60961, 22399, 1505]",4369,4096,60961,12.77,,,,,,,,
"[17, 257, 4369, 4096, 61153, 19603, 1313]",4369,4096,61153,12.77,,,,,,,,
"[17, 257, 4369, 4096, 61409, 15847, 1057]",4369,4096,61409,12.77,,,,,,,,
"[17, 257, 4369, 4096, 61729, 11107, 737]",4369,4096,61729,12.77,,,,,,,,
"[17, 257, 4369, 4096, 62497, 62024, 4065]",4369,4096,62497,12.77,,,,,,,,
"[17, 257, 4369, 4096, 62753, 58356, 3809]",4369,4096,62753,12.77,,,,,,,,
"[17, 257, 4369, 4096, 63073, 53726, 3489]",4369,4096,63073,12.77,,,,,,,,
"[17, 257, 4369, 4096, 63521, 47160, 3041]",4369,4096,63521,12.77,,,,,,,,
"[17, 257, 4369, 4096, 63649, 45266, 2913]",4369,4096,63649,12.77,,,,,,,,
"[17, 257, 4369, 4096, 63841, 42410, 2721]",4369,4096,63841,12.77,,,,,,,,
"[17, 257, 4369, 4096, 64033, 39536, 2529]",4369,4096,64033,12.77,,,,,,,,
"[17, 257, 4369, 4096, 64609, 30806, 1953]",4369,4096,64609,12.77,,,,,,,,
"[17, 257, 4369, 4096, 17, 1, 241]",4369,4096,17,6.55,,,,,,,,
"[17, 257, 4369, 4096, 113, 4, 145]",4369,4096,113,6.55,,,,,,,,
"[17, 257, 4369, 4096, 241, 1, 17]",4369,4096,241,6.55,,,,,,,,
"[17, 257, 4369, 4096, 337, 162, 1969]",4369,4096,337,6.55,,,,,,,,
"[17, 257, 4369, 4096, 401, 387, 3953]",4369,4096,401,6.55,,,,,,,,
"[17, 257, 4369, 4096, 433, 198, 1873]",4369,4096,433,6.55,,,,,,,,
"[17, 257, 4369, 4096, 593, 248, 1713]",4369,4096,593,6.55,,,,,,,,
"[17, 257, 4369, 4096, 881, 747, 3473]",4369,4096,881,6.55,,,,,,,,
"[17, 257, 4369, 4096, 977, 317, 1329]",4369,4096,977,6.55,,,,,,,,
"[17, 257, 4369, 4096, 1009, 824, 3345]",4369,4096,1009,6.55,,,,,,,,
"[17, 257, 4369, 4096, 1201, 324, 1105]",4369,4096,1201,6.55,,,,,,,,
"[17, 257, 4369, 4096, 1297, 968, 3057]",4369,4096,1297,6.55,,,,,,,,
"[17, 257, 4369, 4096, 1361, 314, 945]",4369,4096,1361,6.55,,,,,,,,
"[17, 257, 4369, 4096, 1489, 297, 817]",4369,4096,1489,6.55,,,,,,,,
"[17, 257, 4369, 4096, 1553, 1062, 2801]",4369,4096,1553,6.55,,,,,,,,
"[17, 257, 4369, 4096, 1777, 1118, 2577]",4369,4096,1777,6.55,,,,,,,,
"[17, 257, 4369, 4096, 1873, 198, 433]",4369,4096,1873,6.55,,,,,,,,
"[17, 257, 4369, 4096, 2129, 92, 177]",4369,4096,2129,6.55,,,,,,,,
"[17, 257, 4369, 4096, 2161, 1157, 2193]",4369,4096,2161,6.55,,,,,,,,
"[17, 257, 4369, 4096, 2417, 1143, 1937]",4369,4096,2417,6.55,,,,,,,,
"[17, 257, 4369, 4096, 2609, 2416, 3793]",4369,4096,2609,6.55,,,,,,,,
"[17, 257, 4369, 4096, 2801, 1062, 1553]",4369,4096,2801,6.55,,,,,,,,
"[17, 257, 4369, 4096, 2833, 1052, 1521]",4369,4096,2833,6.55,,,,,,,,
"[17, 257, 4369, 4096, 2897, 2479, 3505]",4369,4096,2897,6.55,,,,,,,,
"[17, 257, 4369, 4096, 3089, 954, 1265]",4369,4096,3089,6.55,,,,,,,,
"[17, 257, 4369, 4096, 3121, 2500, 3281]",4369,4096,3121,6.55,,,,,,,,
"[17, 257, 4369, 4096, 3217, 893, 1137]",4369,4096,3217,6.55,,,,,,,,
"[17, 257, 4369, 4096, 3313, 842, 1041]",4369,4096,3313,6.55,,,,,,,,
"[17, 257, 4369, 4096, 3697, 593, 657]",4369,4096,3697,6.55,,,,,,,,
"[17, 257, 4369, 4096, 3761, 2425, 2641]",4369,4096,3761,6.55,,,,,,,,
"[17, 257, 4369, 4096, 3793, 2416, 2609]",4369,4096,3793,6.55,,,,,,,,
"[17, 257, 4369, 4096, 3889, 2386, 2513]",4369,4096,3889,6.55,,,,,,,,
"[17, 257, 4369, 4096, 4049, 2326, 2353]",4369,4096,4049,6.55,,,,,,,,
"[17, 257, 4369, 4096, 4177, 2269, 2225]",4369,4096,4177,6.55,,,,,,,,
"[17, 257, 4369, 4096, 4241, 117, 113]",4369,4096,4241,6.55,,,,,,,,
"[17, 257, 4369, 4096, 4273, 2221, 2129]",4369,4096,4273,6.55,,,,,,,,
"[17, 257, 4369, 4096, 4337, 18, 17]",4369,4096,4337,6.55,,,,,,,,
"[17, 257, 4369, 4096, 4561, 2050, 1841]",4369,4096,4561,6.55,,,,,,,,
"[17, 257, 4369, 4096, 4657, 1984, 1745]",4369,4096,4657,6.55,,,,,,,,
"[17, 257, 4369, 4096, 4721, 4298, 3729]",4369,4096,4721,6.55,,,,,,,,
"[17, 257, 4369, 4096, 4817, 1864, 1585]",4369,4096,4817,6.55,,,,,,,,
"[17, 257, 4369, 4096, 5009, 4208, 3441]",4369,4096,5009,6.55,,,,,,,,
"[17, 257, 4369, 4096, 5233, 4110, 3217]",4369,4096,5233,6.55,,,,,,,,
"[17, 257, 4369, 4096, 5297, 1429, 1105]",4369,4096,5297,6.55,,,,,,,,
"[17, 257, 4369, 4096, 5393, 4025, 3057]",4369,4096,5393,6.55,,,,,,,,
"[17, 257, 4369, 4096, 5521, 3948, 2929]",4369,4096,5521,6.55,,,,,,,,
"[17, 257, 4369, 4096, 6257, 3350, 2193]",4369,4096,6257,6.55,,,,,,,,
"[17, 257, 4369, 4096, 6353, 76, 49]",4369,4096,6353,6.55,,,,,,,,
"[17, 257, 4369, 4096, 6449, 6375, 4049]",4369,4096,6449,6.55,,,,,,,,
"[17, 257, 4369, 4096, 6481, 6356, 4017]",4369,4096,6481,6.55,,,,,,,,
"[17, 257, 4369, 4096, 6577, 6296, 3921]",4369,4096,6577,6.55,,,,,,,,
"[17, 257, 4369, 4096, 6673, 2895, 1777]",4369,4096,6673,6.55,,,,,,,,
"[17, 257, 4369, 4096, 6737, 6186, 3761]",4369,4096,6737,6.55,,,,,,,,
"[17, 257, 4369, 4096, 6833, 6114, 3665]",4369,4096,6833,6.55,,,,,,,,
"[17, 257, 4369, 4096, 6961, 6011, 3537]",4369,4096,6961,6.55,,,,,,,,
"[17, 257, 4369, 4096, 7057, 2400, 1393]",4369,4096,7057,6.55,,,,,,,,
"[17, 257, 4369, 4096, 7121, 5871, 3377]",4369,4096,7121,6.55,,,,,,,,
"[17, 257, 4369, 4096, 7537, 1680, 913]",4369,4096,7537,6.55,,,,,,,,
"[17, 257, 4369, 4096, 7793, 1250, 657]",4369,4096,7793,6.55,,,,,,,,
"[17, 257, 4369, 4096, 8017, 4856, 2481]",4369,4096,8017,6.55,,,,,,,,
"[17, 257, 4369, 4096, 8081, 728, 369]",4369,4096,8081,6.55,,,,,,,,
"[17, 257, 4369, 4096, 8209, 483, 241]",4369,4096,8209,6.55,,,,,,,,
"[17, 257, 4369, 4096, 8273, 4494, 2225]",4369,4096,8273,6.55,,,,,,,,
"[17, 257, 4369, 4096, 8369, 4350, 2129]",4369,4096,8369,6.55,,,,,,,,
"[17, 257, 4369, 4096, 8689, 8182, 3857]",4369,4096,8689,6.55,,,,,,,,
"[17, 257, 4369, 4096, 8753, 3729, 1745]",4369,4096,8753,6.55,,,,,,,,
"[17, 257, 4369, 4096, 8849, 7987, 3697]",4369,4096,8849,6.55,,,,,,,,
"[17, 257, 4369, 4096, 9041, 3216, 1457]",4369,4096,9041,6.55,,,,,,,,
"[17, 257, 4369, 4096, 9137, 3036, 1361]",4369,4096,9137,6.55,,,,,,,,
"[17, 257, 4369, 4096, 9521, 2271, 977]",4369,4096,9521,6.55,,,,,,,,
"[17, 257, 4369, 4096, 9649, 2000, 849]",4369,4096,9649,6.55,,,,,,,,
"[17, 257, 4369, 4096, 10193, 759, 305]",4369,4096,10193,6.55,,,,,,,,
"[17, 257, 4369, 4096, 10289, 525, 209]",4369,4096,10289,6.55,,,,,,,,
"[17, 257, 4369, 4096, 10321, 446, 177]",4369,4096,10321,6.55,,,,,,,,
"[17, 257, 4369, 4096, 10513, 5218, 2033]",4369,4096,10513,6.55,,,,,,,,
"[17, 257, 4369, 4096, 10993, 4168, 1553]",4369,4096,10993,6.55,,,,,,,,
"[17, 257, 4369, 4096, 11057, 9548, 3537]",4369,4096,11057,6.55,,,,,,,,
"[17, 257, 4369, 4096, 11633, 2593, 913]",4369,4096,11633,6.55,,,,,,,,
"[17, 257, 4369, 4096, 11953, 7707, 2641]",4369,4096,11953,6.55,,,,,,,,
"[17, 257, 4369, 4096, 12049, 1462, 497]",4369,4096,12049,6.55,,,,,,,,
"[17, 257, 4369, 4096, 12113, 7337, 2481]",4369,4096,12113,6.55,,,,,,,,
"[17, 257, 4369, 4096, 12241, 7032, 2353]",4369,4096,12241,6.55,,,,,,,,
"[17, 257, 4369, 4096, 12401, 439, 145]",4369,4096,12401,6.55,,,,,,,,
"[17, 257, 4369, 4096, 12433, 343, 113]",4369,4096,12433,6.55,,,,,,,,
"[17, 257, 4369, 4096, 12497, 6398, 2097]",4369,4096,12497,6.55,,,,,,,,
"[17, 257, 4369, 4096, 12689, 12246, 3953]",4369,4096,12689,6.55,,,,,,,,
"[17, 257, 4369, 4096, 12721, 5817, 1873]",4369,4096,12721,6.55,,,,,,,,
"[17, 257, 4369, 4096, 13009, 5034, 1585]",4369,4096,13009,6.55,,,,,,,,
"[17, 257, 4369, 4096, 13297, 10859, 3345]",4369,4096,13297,6.55,,,,,,,,
"[17, 257, 4369, 4096, 13457, 10464, 3185]",4369,4096,13457,6.55,,,,,,,,
"[17, 257, 4369, 4096, 13553, 10221, 3089]",4369,4096,13553,6.55,,,,,,,,
"[17, 257, 4369, 4096, 13649, 3149, 945]",4369,4096,13649,6.55,,,,,,,,
"[17, 257, 4369, 4096, 13681, 9890, 2961]",4369,4096,13681,6.55,,,,,,,,
"[17, 257, 4369, 4096, 13841, 9465, 2801]",4369,4096,13841,6.55,,,,,,,,
"[17, 257, 4369, 4096, 13873, 2442, 721]",4369,4096,13873,6.55,,,,,,,,
"[17, 257, 4369, 4096, 14033, 1922, 561]",4369,4096,14033,6.55,,,,,,,,
"[17, 257, 4369, 4096, 14321, 8115, 2321]",4369,4096,14321,6.55,,,,,,,,
"[17, 257, 4369, 4096, 14449, 7736, 2193]",4369,4096,14449,6.55,,,,,,,,
"[17, 257, 4369, 4096, 14737, 6854, 1905]",4369,4096,14737,6.55,,,,,,,,
"[17, 257, 4369, 4096, 14897, 13795, 3793]",4369,4096,14897,6.55,,,,,,,,
"[17, 257, 4369, 4096, 14929, 13708, 3761]",4369,4096,14929,6.55,,,,,,,,
"[17, 257, 4369, 4096, 15121, 5615, 1521]",4369,4096,15121,6.55,,,,,,,,
"[17, 257, 4369, 4096, 15217, 5294, 1425]",4369,4096,15217,6.55,,,,,,,,
"[17, 257, 4369, 4096, 15313, 12625, 3377]",4369,4096,15313,6.55,,,,,,,,
"[17, 257, 4369, 4096, 15377, 4749, 1265]",4369,4096,15377,6.55,,,,,,,,
"[17, 257, 4369, 4096, 15473, 4416, 1169]",4369,4096,15473,6.55,,,,,,,,
"[17, 257, 4369, 4096, 15569, 11863, 3121]",4369,4096,15569,6.55,,,,,,,,
"[17, 257, 4369, 4096, 15601, 3965, 1041]",4369,4096,15601,6.55,,,,,,,,
"[17, 257, 4369, 4096, 15761, 3390, 881]",4369,4096,15761,6.55,,,,,,,,
"[17, 257, 4369, 4096, 15889, 2921, 753]",4369,4096,15889,6.55,,,,,,,,
"[17, 257, 4369, 4096, 16273, 1466, 369]",4369,4096,16273,6.55,,,,,,,,
"[17, 257, 4369, 4096, 16369, 1091, 273]",4369,4096,16369,6.55,,,,,,,,
"[17, 257, 4369, 4096, 16433, 9055, 2257]",4369,4096,16433,6.55,,,,,,,,
"[17, 257, 4369, 4096, 16529, 456, 113]",4369,4096,16529,6.55,,,,,,,,
"[17, 257, 4369, 4096, 16561, 8608, 2129]",4369,4096,16561,6.55,,,,,,,,
"[17, 257, 4369, 4096, 16657, 16596, 4081]",4369,4096,16657,6.55,,,,,,,,
"[17, 257, 4369, 4096, 17041, 15381, 3697]",4369,4096,17041,6.55,,,,,,,,
"[17, 257, 4369, 4096, 17137, 15066, 3601]",4369,4096,17137,6.55,,,,,,,,
"[17, 257, 4369, 4096, 17393, 14204, 3345]",4369,4096,17393,6.55,,,,,,,,
"[17, 257, 4369, 4096, 17489, 5128, 1201]",4369,4096,17489,6.55,,,,,,,,
"[17, 257, 4369, 4096, 17681, 13196, 3057]",4369,4096,17681,6.55,,,,,,,,
"[17, 257, 4369, 4096, 17713, 4225, 977]",4369,4096,17713,6.55,,,,,,,,
"[17, 257, 4369, 4096, 18097, 2620, 593]",4369,4096,18097,6.55,,,,,,,,
"[17, 257, 4369, 4096, 18257, 1930, 433]",4369,4096,18257,6.55,,,,,,,,
"[17, 257, 4369, 4096, 18289, 10935, 2449]",4369,4096,18289,6.55,,,,,,,,
"[17, 257, 4369, 4096, 18353, 1510, 337]",4369,4096,18353,6.55,,,,,,,,
"[17, 257, 4369, 4096, 18481, 943, 209]",4369,4096,18481,6.55,,,,,,,,
"[17, 257, 4369, 4096, 19121, 17109, 3665]",4369,4096,19121,6.55,,,,,,,,
"[17, 257, 4369, 4096, 19249, 16622, 3537]",4369,4096,19249,6.55,,,,,,,,
"[17, 257, 4369, 4096, 19441, 6156, 1297]",4369,4096,19441,6.55,,,,,,,,
"[17, 257, 4369, 4096, 19697, 5006, 1041]",4369,4096,19697,6.55,,,,,,,,
"[17, 257, 4369, 4096, 19793, 14463, 2993]",4369,4096,19793,6.55,,,,,,,,
"[17, 257, 4369, 4096, 19889, 14067, 2897]",4369,4096,19889,6.55,,,,,,,,
"[17, 257, 4369, 4096, 20113, 3069, 625]",4369,4096,20113,6.55,,,,,,,,
"[17, 257, 4369, 4096, 20177, 12852, 2609]",4369,4096,20177,6.55,,,,,,,,
"[17, 257, 4369, 4096, 20369, 1835, 369]",4369,4096,20369,6.55,,,,,,,,
"[17, 257, 4369, 4096, 20593, 729, 145]",4369,4096,20593,6.55,,,,,,,,
"[17, 257, 4369, 4096, 20753, 20677, 4081]",4369,4096,20753,6.55,,,,,,,,
"[17, 257, 4369, 4096, 20849, 20284, 3985]",4369,4096,20849,6.55,,,,,,,,
"[17, 257, 4369, 4096, 21169, 8357, 1617]",4369,4096,21169,6.55,,,,,,,,
"[17, 257, 4369, 4096, 21521, 17407, 3313]",4369,4096,21521,6.55,,,,,,,,
"[17, 257, 4369, 4096, 21617, 16978, 3217]",4369,4096,21617,6.55,,,,,,,,
"[17, 257, 4369, 4096, 21649, 16834, 3185]",4369,4096,21649,6.55,,,,,,,,
"[17, 257, 4369, 4096, 21713, 5688, 1073]",4369,4096,21713,6.55,,,,,,,,
"[17, 257, 4369, 4096, 21841, 5039, 945]",4369,4096,21841,6.55,,,,,,,,
"[17, 257, 4369, 4096, 21937, 4547, 849]",4369,4096,21937,6.55,,,,,,,,
"[17, 257, 4369, 4096, 22129, 14614, 2705]",4369,4096,22129,6.55,,,,,,,,
"[17, 257, 4369, 4096, 22193, 3213, 593]",4369,4096,22193,6.55,,,,,,,,
"[17, 257, 4369, 4096, 22481, 1674, 305]",4369,4096,22481,6.55,,,,,,,,
"[17, 257, 4369, 4096, 22769, 11479, 2065]",4369,4096,22769,6.55,,,,,,,,
"[17, 257, 4369, 4096, 22961, 21980, 3921]",4369,4096,22961,6.55,,,,,,,,
"[17, 257, 4369, 4096, 22993, 21831, 3889]",4369,4096,22993,6.55,,,,,,,,
"[17, 257, 4369, 4096, 23057, 10003, 1777]",4369,4096,23057,6.55,,,,,,,,
"[17, 257, 4369, 4096, 23473, 19536, 3409]",4369,4096,23473,6.55,,,,,,,,
"[17, 257, 4369, 4096, 23537, 7453, 1297]",4369,4096,23537,6.55,,,,,,,,
"[17, 257, 4369, 4096, 23633, 18746, 3249]",4369,4096,23633,6.55,,,,,,,,
"[17, 257, 4369, 4096, 23761, 18105, 3121]",4369,4096,23761,6.55,,,,,,,,
"[17, 257, 4369, 4096, 23857, 17619, 3025]",4369,4096,23857,6.55,,,,,,,,
"[17, 257, 4369, 4096, 24049, 4609, 785]",4369,4096,24049,6.55,,,,,,,,
"[17, 257, 4369, 4096, 24113, 16301, 2769]",4369,4096,24113,6.55,,,,,,,,
"[17, 257, 4369, 4096, 24337, 2953, 497]",4369,4096,24337,6.55,,,,,,,,
"[17, 257, 4369, 4096, 24593, 1447, 241]",4369,4096,24593,6.55,,,,,,,,
